text,label
UIDAI: Aadhaar biometric lock failed. Reset here: http://uidai-reset.net,Phishing
Redmi Lucky User Contest: Your number won a new Redmi Note 13. Claim by tonight.,Lottery Scam
Your package is out for delivery. OTP: 4821 (share only with delivery agent).,Safe
Your mutual fund account shows unauthorized activity. Secure: http://zerodha-verify.co,Phishing
"Kal presentation hai, practice kar lena ek baar.",Safe
"Online teaching job: Teach students from home, earn Rs 60,000/month. Freshers can apply.",Job Scam
"Your SIM has been selected for a special Diwali prize of Rs 15,000. Claim before 5pm.",Lottery Scam
Your OTP is 482910. Do not share it with anyone. Valid for 10 mins.,OTP Scam
"Your cab is 3 mins away. Driver: Raju, MH-02-AB-1234.",Safe
"Your PhonePe account has been selected for a surprise cashback of Rs 10,000.",Lottery Scam
Your parcel was returned to sender. Contact customer care.,Safe
Govt approved packaging job from home. Rs 600-900/day. Security deposit Rs 1000. Apply.,Job Scam
IRDA: Your vehicle insurance has expired. Renew: http://irda-renew.co,Phishing
"Wipro Employee Lucky Draw: You won Rs 50,000 bonus. Contact HR immediately.",Lottery Scam
Congratulations! You are the lucky winner of our Star TV prize of Rs 5 Lakh.,Lottery Scam
Survey job from home: Rs 500 per form filled. Earn Rs 2000 daily. Register free today.,Job Scam
"App testing job: Test 5 apps daily from home, earn Rs 3000/day. Register for Rs 299.",Job Scam
Good luck for your interview today. You've got this.,Safe
"To prevent your account from being hacked, share OTP 993321 with our security team.",OTP Scam
Your NEFT OTP is 334456. Share with our executive to complete the transaction.,OTP Scam
"Urgent hiring: Customer support executive. Work from home, Rs 35,000/month. Apply now.",Job Scam
"Mom, I'll be home by 8. Don't wait for dinner.",Safe
"International Sweepstakes: Your email won $25,000. Send ID proof to claim your prize.",Lottery Scam
"Part-time social media manager needed. Earn Rs 15,000 weekly. No degree required. WhatsApp.",Job Scam
GPay: Our team sent OTP 667732 to verify your identity. Share to resume transactions.,OTP Scam
Insurance verification: Share OTP 221345 with our agent to process your claim today.,OTP Scam
Earn Rs 2000 daily by watching YouTube ads from home. No experience needed. Join us.,Job Scam
Your Vodafone number was picked for a free trip to Goa. Confirm your details to claim.,Lottery Scam
Your driving licence data shows mismatch. Correct at: http://parivahan-update.in,Phishing
Library books are due for return by Friday.,Safe
"HDFC Bank is hiring home-based loan agents. Earn commission of Rs 50,000/month. Apply.",Job Scam
Your Paytm OTP is 991234. Our executive will call to verify. Please share.,OTP Scam
You have won a Samsung Galaxy S24 in our annual lucky draw! Claim your gift today.,Lottery Scam
Your bus pass has been renewed. Valid till March 2026.,Safe
Your number matched the Powerball selection. Claim Rs 50 Lakh prize now.,Lottery Scam
"Dear user, your mobile number has been selected for a Rs 50,000 prize. Claim today!",Lottery Scam
Job offer: Survey filling from home. Earn Rs 500 per survey. Register for Rs 299 now.,Job Scam
Your investment account shows Rs 50000 withdrawal initiated. Cancel: http://invest-alert.co,Phishing
Airtel Black: Your plan downgraded due to non-verification. Fix: http://airtel-fix.co,Phishing
Your salary has been credited to your account.,Safe
Exciting opportunity: Earn Rs 5000 daily by reselling products. No investment needed initially.,Job Scam
"Data entry job from home. Earn Rs 25,000 monthly. Freshers welcome. Deposit Rs 500 to join.",Job Scam
"Work from home job: Attend customer calls for 4 hours daily. Rs 30,000/month. Contact HR.",Job Scam
Axis Bank: Credit card ending 7821 used for Rs 45000 transaction. Dispute: http://axis-dispute.xyz,Phishing
Earn Rs 3000 daily from home testing apps. No degree required. Pay Rs 500 registration.,Job Scam
Instagram: Your account is under review for spam. Verify: http://ig-verify.co,Phishing
"YouTube channel management job from home. Rs 50,000/month. Contact us on WhatsApp today.",Job Scam
LIC agent: OTP 445523 will confirm your policy nomination update. Please share.,OTP Scam
Lucky Customer! Your number won a 2-year free subscription to OTT worth Rs 8000.,Lottery Scam
Your FASTag account balance is Rs 240. Recharge to avoid issues.,Safe
Happy birthday! Hope you have a wonderful day.,Safe
"Digital marketing work from home. Earn Rs 60,000/month. No experience. Join us on Telegram.",Job Scam
"Thanks for the birthday wishes everyone, feeling loved!",Safe
SBI Life Insurance prize draw: Winner gets Rs 2 Lakh. Submit Aadhaar to claim.,Lottery Scam
Bank fraud alert: Rs 15000 credited to unknown account. Dispute: http://bank-dispute.xyz,Phishing
Your Amazon Pay OTP is 774329. Our agent needs it to complete your cashback credit.,OTP Scam
Your crypto wallet OTP is 338812. Share with our support team to restore access.,OTP Scam
Credit card bill overdue by Rs 2400. Pay now to avoid penalty: http://card-pay.in,Phishing
Earn Rs 2 Lakh/month from home! This one trick changed my life. Contact our mentor now.,Job Scam
"Google Lottery 2025: Your number is selected. Prize: Rs 75,000. Contact us to claim.",Lottery Scam
"Congratulations! Your TV remote lucky number won the Onida draw — prize Rs 20,000.",Lottery Scam
"Amazon is hiring home-based packers. Earn Rs 40,000/month. Pay Rs 999 registration fee.",Job Scam
Your complaint has been resolved. Ref: TKT-20948.,Safe
"Earn Rs 10,000 weekly posting ads on social media. No experience. Message us on WhatsApp.",Job Scam
"Dear winner, to transfer Rs 8 Lakh prize, we need your bank details and Rs 2000 fee.",Lottery Scam
Amazon Great Indian Sale Lucky Draw: You won a refrigerator! Claim within 24 hours.,Lottery Scam
